title;abstract;doi;application_area;clinical_procedure;multimodal_imaging;study_category;research_environment;purpose;imaging_technique;spectral_range
Evaluation of hyperspectral imaging (HSI) for the measurement of ischemic conditioning effects of the gastric conduit during esophagectomy;"Background Hyperspectral imaging (HSI) is a relatively new method used in image-guided and precision surgery, which has shown promising results for characterization of tissues and assessment of physiologic tissue parameters. Previous methods used for analysis of preconditioning concepts in patients and animal models have shown several limitations of application. The aim of this study was to evaluate HSI for the measurement of ischemic conditioning effects during esophagectomy. Methods Intraoperative hyperspectral images of the gastric tube through the mini-thoracotomy were recorded from n = 22 patients, 14 of whom underwent laparoscopic gastrolysis and ischemic conditioning of the stomach with two-step transthoracic esophagectomy and gastric pull-up with intrathoracic anastomosis after 3-7 days. The tip of the gastric tube (later esophagogastric anastomosis) was measured with HSI. Analysis software provides a RGB image and 4 false color images representing physiologic parameters of the recorded tissue area intraoperatively. These parameters contain tissue oxygenation (StO(2)), perfusion-(NIR Perfusion Index), organ hemoglobin (OHI), and tissue water index (TWI). Results Intraoperative HSI of the gastric conduit was possible in all patients and did not prolong the regular operative procedure due to its quick applicability. In particular, the tissue oxygenation of the gastric conduit was significantly higher in patients who underwent ischemic conditioning ((StO(2Precond.)) over bar = 78%; (StO(2Precond.)) over bar = 66%; p = 0.03). Conclusions HSI is suitable for contact-free, non-invasive, and intraoperative evaluation of physiological tissue parameters within gastric conduits. Therefore, HSI is a valuable method for evaluating ischemic conditioning effects and may contribute to reduce anastomotic complications. Additional studies are needed to establish normal values and thresholds of the presented parameters for the gastric conduit anastomotic site.";10.1007/s00464-019-06675-4;gastrointestinal;not-available;no;human;in-vivo;tissue perfusion;not-available;not-available
An AOTF-based dual-modality hyperspectral imaging system (DMHSI) capable of simultaneous fluorescence and reflectance imaging;An acousto-optic tunable filter (AOTF)-based system for dual-modality hyperspectral imaging (DMHSI) has been developed for use in characterization of normal and malignant mouse tissue. The system consists of a laser, endoscope, AOTE and two cameras coupled with optics and electronics. Initial results show that the system can delineate normal and malignant mouse tissues real-time. The analysis shows that malignant tissues consistently exhibit less fluorescent intensity in the wavelength band from 440 to 540 nm with a peak intensity of around 490 nm. The analysis also shows key spectroscopic differences between normal and malignant tissues. Further, these results are compared to real-time spectroscopic data and show good correlation. (c) 2005 IPEM. Published by Elsevier Ltd. All rights reserved.;10.1016/j.medengphy.2005.04.022;not-available;endoscopic_laparoscopic;yes;animal;not-available;system development, tissue classification;spectral scanning;VIS
Hyperspectral Imagery for Assessing Laser-Induced Thermal State Change in Liver;This work presents the potential of hyperspectral imaging (HSI) to monitor the thermal outcome of laser ablation therapy used for minimally invasive tumor removal. Our main goal is the establishment of indicators of the thermal damage of living tissues, which can be used to assess the effect of the procedure. These indicators rely on the spectral variation of temperature-dependent tissue chromophores, i.e., oxyhemoglobin, deoxyhemoglobin, methemoglobin, and water. Laser treatment was performed at specific temperature thresholds (from 60 to 110 degrees C) on in-vivo animal liver and was assessed with a hyperspectral camera (500-995 nm) during and after the treatment. The indicators were extracted from the hyperspectral images after the following processing steps: the breathing motion compensation and the spectral and spatial filtering, the selection of spectral bands corresponding to specific tissue chromophores, and the analysis of the areas under the curves for each spectral band. Results show that properly combining spectral information related to deoxyhemoglobin, methemoglobin, lipids, and water allows for the segmenting of different zones of the laser-induced thermal damage. This preliminary investigation provides indicators for describing the thermal state of the liver, which can be employed in the future as clinical endpoints of the procedure outcome.;10.3390/s21020643;gastrointestinal;not-available;no;animal;in-vivo;other;not-available;VIS, NIR
Multiparametric Cystoscopy for Detection of Bladder Cancer Using Real-time Multispectral Imaging;Background: : Various imaging modalities can be used in addition to white light (WL) to improve detection of bladder cancer (BC). Objective: : To use real-time multispectral imaging (rMSI) during urethrocystoscopy to combine different imaging modalities to achieve multiparametric cystoscopy (MPC). Design, setting, and participants: : The rMSI system consisted of a camera with a spectral filter, a multi-LED light source, a microcontroller, and a computer for display and data acquisition. MSI with this system was achieved via temporal multiplexing. Surgical procedure: : MPC was performed in ten patients with a diagnosed bladder tumor. Measurements: : We gathered evidence to prove the feasibility of our approach. In addition, experienced urologists performed post-interventional evaluation of images of individual lesions. Images were independently rated in a semiquantitative manner for each modality. A statistical model was built for pairwise comparisons across modalities. Results and limitations: : Overall, 31 lesions were detected using the rMSI set-up. Histopathology revealed malignancy in 27 lesions. All lesions could be visualized simultaneously in five modalities: WL, enhanced vascular contrast (EVC), blue light fluorescence, protoporphyrin IX fluorescence, and autofluorescence. EVC and photodynamic diagnosis images were merged in real time into one MP image. Using the recorded images, two observers identified all malignant lesions via MPC, whereas the single modalities did not arouse substantial suspicion for some lesions. The MP images of malignant lesions were rated significantly more suspicious than the images from single imaging modalities. Conclusions: : We demonstrated for the first time the application of rMSI in endourology and we established MPC for detection of BC. This approach allows existing imaging modalities to be combined, and it may significantly improve the detection of bladder cancer. Patient summary: : Real-time multispectral imaging was successfully used to combine different imaging aids for more comprehensive illustration of bladder tumors for surgeons. In the future, this technique may allow better detection of bladder tumors and more complete endoscopic resection in cases of cancer. (C) 2019 European Association of Urology. Published by Elsevier B.V. All rights reserved.;10.1016/j.eururo.2019.08.024;urogenital;endoscopic_laparoscopic;yes;human;in-vivo;tissue classification;spectral scanning;not-available
Hyperspectral Imaging and Classification for Grading Skin Erythema;"Erythema is an inflammatory condition of the skin that is commonly used as a feature to monitor the progression of cutaneous diseases or treatment induced side effects. In radiation therapy, skin erythema is routinely assessed visually by an expert using standardized grading criteria. However, visual assessment (VA) is subjective and commonly used grading tools are too coarse to score the onset of erythema. Therefore, an objective method capable of quantitatively grading early erythema changes may help identify patients at higher risk for developing severe radiation induced skin toxicities. The purpose of this study is to investigate the feasibility of using hyperspectral imaging (HSI) for quantitative assessment of early erythema and to characterize its performance against VA documented on conventional digital photographic red-green-blue (RGB) images. Erythema was induced artificially on 3 volunteers in a controlled pilot study; and was subsequently measured using HSI and color imaging. HSI and color imaging data was analyzed using linear discriminant analysis (FDA) to perform classification. The classification results, including accuracy, and precision, demonstrated that HSI is superior to color imaging in skin erythema assessment.";10.3389/fphy.2018.00072;dermatological;not-available;no;human;in-vivo;tissue classification;not-available;not-available
Development of 4-?m-pixel Pitch NIR Multispectral Imaging Sensor and Its Application to Glare-free NIR Color Fundus Camera;In this study, we describe the development of a compact NIR multispectral imaging sensor for use in glare-free NIR color fundus cameras. Integrating NIR technology into a fundus camera offers significant advantages over conventional RGB imaging using visible illumination, as it enables the glare-free capture of fundus images with minimal patient discomfort. The specifications necessary for a glare-free NIR color fundus camera were evaluated on the basis of factors such as pixel pitch size, pixel array layout, and multilayer interference filter design, in accordance with the camera's intended purpose. While multilayer interference filters were deposited on a glass substrate and bonded with the sensor chip in a 7.5 mu m pixel pitch in a previous study, we propose an NIR multispectral imaging sensor directly depositing the interference filters on the wafer in a narrower 4 mu m pixel pitch. In addition, the fabrication process for directly depositing NIR multispectral filters on the sensor wafer was proposed. The fabricated NIR multispectral imaging sensor was analyzed against the intended design. Finally, an NIR multispectral imaging sensor was installed on a glare-free NIR color fundus camera, and it was confirmed that the resulting camera is capable of providing medically relevant and meaningful information.;10.18494/SAM4358;other;microscopic;no;technical evaluation;not-available;other;not-available;NIR
Detection of Skin Erythema in Darkly Pigmented Skin Using Multispectral Images;OBJECTIVE: To develop a technique using a fixed, discrete set of wavelengths that can detect erythema in persons with darkly pigmented skin. The resulting erythema detection approach will then be incorporated into a handheld, point-of-care device that is clinically viable and affordable. DESIGN: A multispectral imaging system was used to acquire spectral images of induced erythema. Individual images were combined into a single image using different fusion algorithms. Image fusion algorithms based on published literature and using linear and nonlinear color space transformation were tested to optimize the contrast between erythematic and uninvolved skin. SETTING: A research laboratory at Georgia Institute of Technology, Atlanta, Georgia. PARTICIPANTS: Fifty-six subjects, of whom 28 had darkly pigmented skin, were recruited from a pool of students, faculty, and staff. MAIN OUTCOME MEASURES: The ability of detection algorithms to detect erythema was measured using Weber contrast. A simple threshold classifier determined accuracy, sensitivity, and specificity for each algorithm. MAIN RESULTS: Four algorithms enhanced contrast of erythema by an order of magnitude over that of a digital photograph. The accuracy of the detection algorithms ranged from 66% to 95%. Sensitivity and specificity ranged from 0% to 100%. One fusion algorithm exhibited an accuracy of more than 90% and sensitivity and specificity of more than 90%. CONCLUSION: The results indicate that erythema in different skin tones can be identified using 2 to 3 filters. Increasing accuracy and discrimination will be targeted via use of filters with narrower half-wave bandwidths, more consistent camera lighting, and improved machine vision techniques.;10.1097/01.ASW.0000305465.17553.1c;dermatological;not-available;no;human;in-vivo;tissue classification, system development;not-available;not-available
High Precision Monitoring of Radiofrequency Ablation for Liver Using Hyperspectral Imaging;Minimally invasive procedures are achieving better satisfaction for treating liver cancers. Energy-based techniques were studied as prospective alternatives to the gold standard of liver transplantation. Among these techniques, radiofrequency (RF) was investigated for the selective ablation of liver tissue. In addition to optimizing the RF settings for the purpose of overcoming tissue perforation or inadequate ablation, an instrument collecting quantitative data regarding the intraoperative tissue status can aid the treatment procedure. This study demonstrates an innovative noninvasive technique using hyperspectral imaging (HSI) for monitoring RF ablative therapy in ex-vivo liver tissue. The cubic data generated by HSI provides spectral as well as spatial properties of the liver tissue included in each pixel of the field of view. In our study, the applied statistical analysis saves the computational burdens of multivariate analysis techniques. For this purpose, spectral angle mapper, logistic regression algorithm, and principal component analysis were applied. Of all spectral bands captured by the HSI camera, bands centered at 760 and 960 nm were identified for predicting the ablated area. Based on statistical analysis, the threshold for predicting the ablated area of the liver samples was determined, provided that the specificity is kept at 90%.;10.1007/s10439-021-02797-w;gastrointestinal;not-available;no;not-available;ex-vivo;other;not-available;NIR
Mobile snapshot hyperspectral imaging device for skin evaluation using diffractive optical elements;Objective A mobile handheld snapshot hyperspectral imaging device was developed and tested for in vivo skin evaluation using a new spectral imaging technology. Methods The device is equipped with four different LED light sources (VIS, 810 nm, 850 nm, and 940 nm) for illumination. Based on a diffractive optical element (DOE) combined with a CMOS sensor chip, a snapshot hyperspectral imager is achieved for the application on human skin. The diffractive optical element (DOE) consists of a two-dimensional array of identically repeated diffractive microstructures. One hyperspectral image for all wavelength regions is taken within a few seconds. Complex recalculation of the VIS spectral distribution and image information from the received DOE image requires several minutes, depending on computing performance. A risk assessment on the irradiation sources shows no risk of harm due to the LED radiation. Results Skin tone color patches experiments reproducibly deliver images and spectra of different skin tones. First in vivo use of the device identified pigmentation changes within the field of view. Conclusion We present a working mobile snapshot hyperspectral imaging tool based on diffractive optical elements. This device or future developments thereof can be used for broad skin evaluation in vivo.;10.1111/srt.12991;dermatological;not-available;no;technical evaluation;in-vivo;system development;snapshot imaging;VIS, NIR
Multispectral Imaging Analysis of Skin Lesions in Patients with Neurofibromatosis Type 1;Neurofibromatosis type 1 (NF1) is a rare disease, affecting around 1 in 3500 individuals in the general population. The rarity of the disease contributes to the scarcity of the available diagnostic and therapeutic approaches. Multispectral imaging is a non-invasive imaging method that shows promise in the diagnosis of various skin diseases. The device utilized for the present study consisted of four sets of narrow-band LEDs, including 526 nm, 663 nm, and 964 nm for diffuse reflectance imaging and 405 nm LEDs, filtered through a 515 nm long-pass filter, for autofluorescence imaging. RGB images were captured using a CMOS camera inside of the device. This paper presents the results of this multispectral skin imaging approach to distinguish the lesions in patients with NF1 from other more common benign skin lesions. The results show that the method provides a potential novel approach to distinguish NF1 lesions from other benign skin lesions.;10.3390/jcm12216746;dermatological;not-available;yes;not-available;not-available;tissue classification;spectral scanning;VIS, NIR
A deep learning model using hyperspectral image for EUS-FNA cytology diagnosis in pancreatic ductal adenocarcinoma;Background and Aims: Endoscopic ultrasonography-guided fine-needle aspiration/biopsy (EUS-FNA/B) is considered to be a first-line procedure for the pathological diagnosis of pancreatic cancer owing to its high accuracy and low complication rate. The number of new cases of pancreatic ductal adenocarcinoma (PDAC) is increasing, and its accurate pathological diagnosis poses a challenge for cytopathologists. Our aim was to develop a hyperspectral imaging (HSI)-based convolution neural network (CNN) algorithm to aid in the diagnosis of pancreatic EUS-FNA cytology specimens.Methods: HSI images were captured of pancreatic EUS-FNA cytological specimens from benign pancreatic tissues (n = 33) and PDAC (n = 39) prepared using a liquid-based cytology method. A CNN was established to test the diagnostic performance, and Attribution Guided Factorization Visualization (AGF-Visualization) was used to visualize the regions of important classification features identified by the model.Results: A total of 1913 HSI images were obtained. Our ResNet18-SimSiam model achieved an accuracy of 0.9204, sensitivity of 0.9310 and specificity of 0.9123 (area under the curve of 0.9625) when trained on HSI images for the differentiation of PDAC cytological specimens from benign pancreatic cells. AGF-Visualization confirmed that the diagnoses were based on the features of tumor cell nuclei.Conclusions: An HSI-based model was developed to diagnose cytological PDAC specimens obtained using EUS-guided sampling. Under the supervision of experienced cytopathologists, we performed multi-staged consecutive in-depth learning of the model. Its superior diagnostic performance could be of value for cytologists when diagnosing PDAC.;10.1002/cam4.6335;gastrointestinal;microscopic;no;not-available;ex-vivo;tissue classification;not-available;not-available
A background correction method to compensate illumination variation in hyperspectral imaging;Hyperspectral imaging (HSI) can measure both spatial (morphological) and spectral (biochemical) information from biological tissues. While HSI appears promising for biomedical applications, interpretation of hyperspectral images can be challenging when data is acquired in complex biological environments. Variations in surface topology or optical power distribution at the sample, encountered for example during endoscopy, can lead to errors in post-processing of the HSI data, compromising disease diagnostic capabilities. Here, we propose a background correction method to compensate for such variations, which estimates the optical properties of illumination at the target based on the normalised spectral profile of the light source and the measured HSI intensity values at a fixed wavelength where the absorption characteristics of the sample are relatively low (in this case, 800 nm). We demonstrate the feasibility of the proposed method by imaging blood samples, tissue-mimicking phantoms, and ex vivo chicken tissue. Moreover, using synthetic HSI data composed from experimentally measured spectra, we show the proposed method would improve statistical analysis of HSI data. The proposed method could help the implementation of HSI techniques in practical clinical applications, where controlling the illumination pattern and power is difficult.;10.1371/journal.pone.0229502;not-available;not-available;no;animal, tissue phantom;ex-vivo;other;not-available;NIR
Multi-Class CNN for Classification of Multispectral and Autofluorescence Skin Lesion Clinical Images;In this work, we propose to use an artificial neural network to classify limited data of clinical multispectral and autofluorescence images of skin lesions. Although the amount of data is limited, the deep convolutional neural network classification of skin lesions using a multi-modal image set is studied and proposed for the first time. The unique dataset consists of spectral reflectance images acquired under 526 nm, 663 nm, 964 nm, and autofluorescence images under 405 nm LED excitation. The augmentation algorithm was applied for multi-modal clinical images of different skin lesion groups to expand the training datasets. It was concluded from saliency maps that the classification performed by the convolutional neural network is based on the distribution of the major skin chromophores and endogenous fluorophores. The resulting classification confusion matrices, as well as the performance of trained neural networks, have been investigated and discussed.;10.3390/jcm11102833;dermatological;not-available;yes;human;not-available;tissue classification;not-available;VIS, NIR
Multispectral, Fluorescent and Photoplethysmographic Imaging for Remote Skin Assessment;Optical tissue imaging has several advantages over the routine clinical imaging methods, including non-invasiveness (it does not change the structure of tissues), remote operation (it avoids infections) and the ability to quantify the tissue condition by means of specific image parameters. Dermatologists and other skin experts need compact (preferably pocket-size), self-sustaining and easy-to-use imaging devices. The operational principles and designs of ten portable in-vivo skin imaging prototypes developed at the Biophotonics Laboratory of Institute of Atomic Physics and Spectroscopy, University of Latvia during the recent five years are presented in this paper. Four groups of imaging devices are considered. Multi-spectral imagers offer possibilities for distant mapping of specific skin parameters, thus facilitating better diagnostics of skin malformations. Autofluorescence intensity and photobleaching rate imagers show a promising potential for skin tumor identification and margin delineation. Photoplethysmography video-imagers ensure remote detection of cutaneous blood pulsations and can provide real-time information on cardiovascular parameters and anesthesia efficiency. Multimodal skin imagers perform several of the abovementioned functions by taking a number of spectral and video images with the same image sensor. Design details of the developed prototypes and results of clinical tests illustrating their functionality are presented and discussed.;10.3390/s17051165;dermatological;not-available;yes;technical evaluation, human;in-vivo;system development, tissue perfusion, tissue classification;not-available;not-available
Efficacy of Novel Multispectral Imaging Device to Determine Anastomosis for Esophagogastrostomy;Background: Biomedical imaging devices that utilize the optical characteristics of hemoglobin (Hb) have become widespread. In the field of gastroenterology, there is a strong demand for devices that can apply this technique to surgical navigation. We aimed to introduce our novel multispectral device capable of intraoperatively performing quantitative imaging of the oxygen (O-2) saturation and Hb amount of tissues noninvasively and in real time, and to examine its application for deciding the appropriate anastomosis point after subtotal or total esophagectomy. Materials and methods: A total of 39 patients with esophageal cancer were studied. Tissue O-2 saturation and Hb amount of the gastric tube just before esophagogastric anastomosis were evaluated using a multispectral tissue quantitative imaging device. The anastomosis point was decided depending on the quantitative values and patterns of both the tissue O-2 saturation and Hb amount. Results: The device can instantaneously and noninvasively quantify and visualize the tissue O-2 saturation and Hb amount using reflected light. The tissue Hb status could be classified into the following four types: good circulation type, congestion type, ischemia type, and mixed type of congestion and ischemia. Postoperative anastomotic failure occurred in 2 cases, and both were mixed cases. Conclusions: The method of quantitatively imaging the tissue O-2 saturation and Hb level in real time and noninvasively using a multispectral device allows instantaneous determination of the anastomosis and related organ conditions, thereby contributing to determining the appropriate treatment direction. (C) 2019 The Authors. Published by Elsevier Inc.;10.1016/j.jss.2019.04.033;gastrointestinal;not-available;no;human;in-vivo;tissue perfusion, system development;not-available;not-available
Visible and Extended Near-Infrared Multispectral Imaging for Skin Cancer Diagnosis;With the goal of diagnosing skin cancer in an early and noninvasive way, an extended near infrared multispectral imaging system based on an InGaAs sensor with sensitivity from 995 nm to 1613 nm was built to evaluate deeper skin layers thanks to the higher penetration of photons at these wavelengths. The outcomes of this device were combined with those of a previously developed multispectral system that works in the visible and near infrared range (414 nm-995 nm). Both provide spectral and spatial information from skin lesions. A classification method to discriminate between melanomas and nevi was developed based on the analysis of first-order statistics descriptors, principal component analysis, and support vector machine tools. The system provided a sensitivity of 78.6% and a specificity of 84.6%, the latter one being improved with respect to that offered by silicon sensors.;10.3390/s18051441;dermatological;not-available;no;not-available;not-available;system development, tissue classification;not-available;VIS, NIR, SWIR
Automatic Liver Viability Scoring with Deep Learning and Hyperspectral Imaging;Hyperspectral imaging (HSI) is a non-invasive imaging modality already applied to evaluate hepatic oxygenation and to discriminate different models of hepatic ischemia. Nevertheless, the ability of HSI to detect and predict the reperfusion damage intraoperatively was not yet assessed. Hypoxia caused by hepatic artery occlusion (HAO) in the liver brings about dreadful vascular complications known as ischemia-reperfusion injury (IRI). Here, we show the evaluation of liver viability in an HAO model with an artificial intelligence-based analysis of HSI. We have combined the potential of HSI to extract quantitative optical tissue properties with a deep learning-based model using convolutional neural networks. The artificial intelligence (AI) score of liver viability showed a significant correlation with capillary lactate from the liver surface (r = -0.78, p = 0.0320) and Suzuki's score (r = -0.96, p = 0.0012). CD31 immunostaining confirmed the microvascular damage accordingly with the AI score. Our results ultimately show the potential of an HSI-AI-based analysis to predict liver viability, thereby prompting for intraoperative tool development to explore its application in a clinical setting.;10.3390/diagnostics11091527;gastrointestinal;not-available;no;tissue phantom;not-available;tissue perfusion;not-available;not-available
Histological skin morphology enhancement base on molecular hyperspectral imaging technology;Background: Most traditional skin histological analysis methods are based on the light microscopy images, which can only provide limited information and low contrast results for pathology evaluation. Molecular hyperspectral imaging technology can provide both spatial and spectral information of skin sections, which is a new method for histological skin analysis. Methods: The molecular hyperspectral imaging system was developed by coupling an acousto-optic tunable filters adapter to microscopy and the molecular hyperspectral images were analyzed by home-written software with image processing algorithms. Then, the histological structures in skin sections were investigated in several locations to evaluate the potential application of the molecular hyperspectral imaging technique to dermatology. Results: Molecular hyperspectral images of skin sections were obtained. Single-band images, false color images, virtual 3D surface view images, and color-coded spectral clustering results were produced to highlight the skin structures for histological evaluation. Conclusion: Unlike traditional histological analysis with light microscopy, the molecular hyperspectral imaging technology can enhance the visualization of skin structures using their spectral signatures and their gray values. This technology has potential for the diagnosis and histopathologic characterization of different kind of skin cells.;10.1111/srt.12123;dermatological;microscopic;no;not-available;ex-vivo;system development, other;spectral scanning;not-available
Clinical performance of a novel hyperspectral imaging device for cutaneous melanoma and pigmented skin lesions in Caucasian skin;Background The quest for diagnostic tools for the detection of cutaneous malignant melanoma (cMM) is ongoing. A challenge in cMM care is not overlooking cMM at an early stage, while simultaneously avoiding unnecessary biopsies or excisions of benign pigmented skin lesions (PSLs). A novel hyperspectral imaging (HSI) device is shown to have potential for differentiating equivocal PSLs in Asian skin types. Our objective was to assess the accuracy of the HSI device in distinguishing between cMM and benign PSLs in patients with Caucasian skin types. Methods Patients with Caucasian skin types (Fitzpatrick I-II), enrolled for excisional biopsies of PSLs were included and examined using the HSI device. The discrimination index (DI) was used to demonstrate the sensitivity (SE) and specificity (SP) in comparison with the re-evaluated histopathology diagnoses. Results In 186 patients, 202 pigmented skin lesions were included. The sensitivity to detect cMM was 96.7% (87/90), and the specificity for benign lesions was 42.1% (45/107). The AUC was 0.800 (95% confidence interval (CI): 0.740-0.861). Conclusions Our novel HSI device showed a high sensitivity in detecting malignant lesions in patients with Caucasian skin types. Compared with analogous technologies, as multispectral imaging or electrical impedance spectroscopy, our device showed similar or better accuracy in differentiating cMM from benign PSLs. Therefore, it might be a useful clinical tool in skin types I-IV and where further triage of pigmented skin lesions is important.;10.1111/srt.13023;dermatological;not-available;no;human;in-vivo;tissue classification;not-available;not-available
Towards noncontact skin melanoma selection by multispectral imaging analysis;A clinical trial comprising 334 pigmented and vascular lesions has been performed in three Riga clinics by means of multispectral imaging analysis. The imaging system Nuance 2.4 (CRi) and self-developed software for mapping of the main skin chromophores were used. Specific features were observed and analyzed for malignant skin melanomas: notably higher absorbance (especially as the difference of optical density relative to the healthy skin), uneven chromophore distribution over the lesion area, and the possibility to select the melanoma areas in the correlation graphs of chromophores. The obtained results indicate clinical potential of this technology for noncontact selection of melanoma from other pigmented and vascular skin lesions. (C) 2011 Society of Photo-Optical Instrumentation Engineers (SPIE). [DOI: 10.1117/1.3584846];10.1117/1.3584846;dermatological;not-available;no;human;not-available;tissue classification;not-available;not-available
Detection of Skin Erythema in Darkly Pigmented Skin Using Multispectral Images;OBJECTIVE: To develop a technique using a fixed, discrete set of wavelengths that can detect erythema in persons with darkly pigmented skin. The resulting erythema detection approach will then be incorporated into a handheld, point-of-care device that is clinically viable and affordable. DESIGN: A multispectral imaging system was used to acquire spectral images of induced erythema. Individual images were combined into a single image using different fusion algorithms. Image fusion algorithms based on published literature and using linear and nonlinear color space transformation were tested to optimize the contrast between erythematic and uninvolved skin. SETTING: A research laboratory at Georgia Institute of Technology, Atlanta, Georgia. PARTICIPANTS: Fifty-six subjects, of whom 28 had darkly pigmented skin, were recruited from a pool of students, faculty, and staff. MAIN OUTCOME MEASURES: The ability of detection algorithms to detect erythema was measured using Weber contrast. A simple threshold classifier determined accuracy, sensitivity, and specificity for each algorithm. MAIN RESULTS: Four algorithms enhanced contrast of erythema by an order of magnitude over that of a digital photograph. The accuracy of the detection algorithms ranged from 66% to 95%. Sensitivity and specificity ranged from 0% to 100%. One fusion algorithm exhibited an accuracy of more than 90% and sensitivity and specificity of more than 90%. CONCLUSION: The results indicate that erythema in different skin tones can be identified using 2 to 3 filters. Increasing accuracy and discrimination will be targeted via use of filters with narrower half-wave bandwidths, more consistent camera lighting, and improved machine vision techniques.;10.1097/01.ASW.0000305465.17553.1c;dermatological;not-available;no;human;in-vivo;tissue classification, system development;not-available;not-available
"Optical hyperspectral imaging in microscopy and spectroscopy - a review of data acquisition";"Rather than simply acting as a photographic camera capturing two-dimensional (x, y) intensity images or a spectrometer acquiring spectra (lambda), a hyperspectral imager measures entire three-dimensional (x, y, lambda) datacubes for multivariate analysis, providing structural, molecular, and functional information about biological cells or tissue with unprecedented detail. Such data also gives clinical insights for disease diagnosis and treatment. We summarize the principles underpinning this technology, highlight its practical implementation, and discuss its recent applications at microscopic to macroscopic scales.";"10.1002/jbio.201400051";"brain, other";"endoscopic / laparoscopic, microscopic, open";"yes";"animal, human";"in-vitro, in-vivo";"other, tissue perfusion";"snapshot imaging, spatial scanning, spectral scanning";"other"
"Intraoperative multispectral and hyperspectral label-free imaging: A systematic review of in vivo clinical studies";"Multispectral and hyperspectral imaging (HSI) are emerging optical imaging techniques with the potential to transform the way surgery is performed but it is not clear whether current systems are capable of delivering real-time tissue characterization and surgical guidance. We conducted a systematic review of surgical in vivo label-free multispectral and HSI systems that have been assessed intraoperatively in adult patients, published over a 10-year period to May 2018. We analysed 14 studies including 8 different HSI systems. Current in-vivo HSI systems generate an intraoperative tissue oxygenation map or enable tumour detection. Intraoperative tissue oxygenation measurements may help to predict those patients at risk of postoperative complications and in-vivo intraoperative tissue characterization may be performed with high specificity and sensitivity. All systems utilized a line-scanning or wavelength-scanning method but the spectral range and number of spectral bands employed varied significantly between studies and according to the system's clinical aim. The time to acquire a hyperspectral cube dataset ranged between 5 and 30 seconds. No safety concerns were reported in any studies. A small number of studies have demonstrated the capabilities of intraoperative in-vivo label-free HSI but further work is needed to fully integrate it into the current surgical workflow.";"10.1002/jbio.201800455";"brain, kidney, oral, other, skin";"endoscopic / laparoscopic, open";"no";"human";"in-vivo";"other, tissue classification, tissue perfusion";"spatial scanning, spectral scanning";"NIR, UV, VIS"
"Hyperspectral and multispectral imaging in neurosurgery: a systematic literature review and meta-analysis";"Introduction: The neuro-surgical community is witnessing a rising interest for surgical application of multispectral/hyperspectral imaging. Several potential technical applications of this optical imaging are reported, but the set-up is variable and so are the processing methods. We present a systematic review of the relevant literature on the topic. Materials and methods: A literature search based on the PRISMA principles was performed on PubMed, SCOPUS, and Web of Science, using MESH terms and Boolean operators. Papers regarding intra-operative in-vivo application of multispectral and/or hyperspectral imaging in humans during neurosurgical procedures were included. Papers reporting technologies related to radiological applications were excluded. A meta-analysis on the performance metrics was also conducted. Results: Our search string retrieved 20 papers. The main applications of optical imaging during neurosurgery concern tumour detection and improvement of the extent of resection (15 papers) or visualization of perfusion changes during neuro-oncology or neuro-vascular surgery (5 papers). All the retrieved articles were pilot studies, proof of concepts, or case reports, with limited number of patients recruited. Sensitivity, specificity, and accuracy were promising in most of the reports, but the metanalysis showed heterogeneous approaches and results among studies. Conclusions: The present review shows that several approaches are currently being tested to integrate hyperspectral imaging in neurosurgery, but most of the studies reported a limited pool of patients, with different approaches to data collection and analysis. Further studies on larger cohorts of patients are therefore desirable to fully explore the potential of this imaging technique.";"10.1016/j.ejso.2024.108293";"brain";"microscopic, open";"yes";"human";"in-vivo";"other, risk structure detection, system development, tissue classification, tissue perfusion, tissue segmentation";"snapshot imaging, spatial scanning, spectral scanning";"NIR, VIS"
"Applications of multispectral and hyperspectral imaging in dermatology";"Vision is essential in the diagnostic capabilities in the speciality of dermatology. However, humans are limited in colour vision by the trichromatic visual system that we possess. Multispectral and hyperspectral imaging can overcome this limitation and non-invasively provide novel information about a skin lesion at the cellular level. A literature review from January 2019 to March 2021 for hyperspectral and multispectral imaging in the field of dermatology was conducted. Multispectral/Hyperspectral imaging continues to generate significant research and interest in dermatology. Much of this research is on distinguishing melanoma from benign nevi as this could allow for a diagnosis without biopsy. In addition, adding multispectral/hyperspectral imaging to smartphones is being researched in order to create a portable and low-cost device that can be used in remote areas. One of the limitations in developing devices utilizing hyperspectral imaging has been a sacrifice in specificity in order to maximize sensitivity. Potential solutions to combat this that are being researched include combining multispectral/hyperspectral imaging with other imaging modalities such as photoacoustic imaging in order to overcome the limitations of using each individually. Multispectral/Hyperspectral imaging could be an instrumental aid for clinicians in examining, diagnosing and developing the management plan for patient's skin lesions.";"10.1111/exd.14624";"skin";"microscopic, open, other";"yes";"human";"ex-vivo, in-vivo";"other, tissue segmentation";"snapshot imaging, spatial scanning";"NIR, SWIR, UV, VIS"
